Removed Pin From Net: NetName=GND Pin=C26-2
Removed Pin From Net: NetName=GND Pin=C27-2
Removed Pin From Net: NetName=NetC14_1 Pin=D11-K
Removed Pin From Net: NetName=NetC1_1 Pin=L1-1
Removed Pin From Net: NetName=NetC11_1 Pin=L1-2
Removed Pin From Net: NetName=15V Pin=P2-1
Removed Pin From Net: NetName=GND Pin=P2-2
Removed Pin From Net: NetName=NetC2_1 Pin=P2-3
Removed Pin From Net: NetName=NetC1_1 Pin=R27-1
Removed Pin From Net: NetName=GND Pin=R30-2
Removed Pin From Net: NetName=NetC14_1 Pin=R31-2
Removed Pin From Net: NetName=GND Pin=R32-1
Removed Pin From Net: NetName=NetC14_1 Pin=U1-1
Removed Pin From Net: NetName=NetR20_1 Pin=U1-2
Removed Pin From Net: NetName=NetC7_2 Pin=U1-3
Removed Pin From Net: NetName=NetC8_1 Pin=U1-4
Removed Pin From Net: NetName=NetR8_1 Pin=U1-5
Removed Pin From Net: NetName=NetC16_1 Pin=U1-6
Removed Pin From Net: NetName=NetC25_1 Pin=U1-7
Removed Pin From Net: NetName=PFC_V Pin=U1-8
Removed Pin From Net: NetName=15V Pin=U1-9
Removed Pin From Net: NetName=NetR12_1 Pin=U1-10
Removed Pin From Net: NetName=GND Pin=U1-11
Removed Pin From Net: NetName=NetD3_K Pin=U1-12
Removed Pin From Net: NetName=NetC10_1 Pin=U1-13
Removed Pin From Net: NetName=NetC15_2 Pin=U1-14
Removed Pin From Net: NetName=NetC24_1 Pin=U1-15
Removed Pin From Net: NetName=NetC24_2 Pin=U1-16
Removed Pin From Net: NetName=NetC17_1 Pin=U1-17
Removed Pin From Net: NetName=NetC19_1 Pin=U1-18
Removed Pin From Net: NetName=NetR10_2 Pin=U1-19
Removed Pin From Net: NetName=NetC12_2 Pin=U1-20
Removed Pin From Net: NetName=GND Pin=U2-4
Removed Pin From Net: NetName=GND Pin=U2-5
Removed Pin From Net: NetName=15V Pin=U2-8
Removed Member From Class: ClassName=Power Factor Correction Member=C26
Removed Member From Class: ClassName=Power Factor Correction Member=C27
Removed Member From Class: ClassName=Power Factor Correction Member=D11
Removed Member From Class: ClassName=Power Factor Correction Member=L1
Removed Member From Class: ClassName=Power Factor Correction Member=R27
Removed Member From Class: ClassName=Power Factor Correction Member=R28
Removed Member From Class: ClassName=Power Factor Correction Member=R29
Removed Member From Class: ClassName=Power Factor Correction Member=R30
Removed Member From Class: ClassName=Power Factor Correction Member=R31
Removed Member From Class: ClassName=Power Factor Correction Member=R32
Removed Member From Class: ClassName=Power Factor Correction Member=TP17
Removed Member From Class: ClassName=Power Factor Correction Member=TR2
Removed Member From Class: ClassName=Power Factor Correction Member=U2
Change Component Comment : Designator=P1 Old Comment=3P_TERM BLOCK 796739-3 New Comment=*
Change Component Comment : Designator=C14 Old Comment=180p New Comment=220p
Change Component Comment : Designator=C12 Old Comment=approved sub OK New Comment=6.2n
Change Component Comment : Designator=TP2 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP3 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP4 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP5 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP6 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP7 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP8 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP9 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP10 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP11 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP12 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP13 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP14 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP15 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change Component Comment : Designator=TP16 Old Comment=TESTPOINT SMD 1206 New Comment=*
Change component parameters: Designator = "U1"; Footprint = "SOIC127P1030X265-20N"; UniqueID = "\TOPFQJRC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Category"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.ti.com/lit/ds/symlink/uc3855a.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/lit/ds/symlink/uc3855a.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Switching"; Value = "500kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "UC2855BDW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mode"; Value = "Average Current"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "20-SOIC (0.295", 7.50mm Width)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=15.12, 10=13.896, 100=11.736, 500=10.44, 1000=9.576 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "77"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "20-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "296-2498-5-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Supply"; Value = "10.5 V ~ 20 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11"; Footprint = "RESC1608X55N"; UniqueID = "\EWJUQURC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-3EKF2611V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.057, 100=0.0233, 1000=0.01048, 2500=0.0091 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
